Type,Brand,Model,Benchmark,Size,Model_Type,URL
SSD,Kingston,KC1000 NVMe PCIe M.2 480GB,164.0,480GB,M.2,https://ssd.userbenchmark.com/SpeedTest/316248/KINGSTON-SKC1000480G
SSD,HP,EX900 NVMe PCIe M.2 250GB,163.0,250GB,M.2,https://ssd.userbenchmark.com/SpeedTest/455743/HP-SSD-EX900-250GB
SSD,Corsair,Force NVMe PCIe M.2 240GB,162.0,240GB,M.2,https://ssd.userbenchmark.com/SpeedTest/612603/Force-MP510
SSD,Intel,DC P3600 Series NVMe PCIe 400GB,162.0,400GB,NVMe PCIe,https://ssd.userbenchmark.com/SpeedTest/22744/NVMe-INTEL-SSDPEDME40
SSD,Apple,SM0512G PCIe 500GB,162.0,500GB,PCIe,https://ssd.userbenchmark.com/SpeedTest/25611/APPLE-SSD-SM0512G
SSD,Toshiba,THNSN5512GPU7 NVMe PCIe M.2 512GB,160.0,512GB,M.2,https://ssd.userbenchmark.com/SpeedTest/120558/NVMe-THNSN5512GPU7-NV
SSD,XPG,Gammix S11 NVMe PCIe M.2 240GB,158.0,240GB,M.2,https://ssd.userbenchmark.com/SpeedTest/497242/XPG-GAMMIX-S11
SSD,Corsair,Force MP500 NVMe PCIe M.2 480GB,158.0,480GB,M.2,https://ssd.userbenchmark.com/SpeedTest/223982/Force-MP500
SSD,Intel,660p NVMe PCIe M.2 512GB,156.0,512GB,M.2,https://ssd.userbenchmark.com/SpeedTest/557263/INTEL-SSDPEKNW512G8
SSD,Samsung,PM951 NVMe PCIe M.2 512GB 1TB,155.0,512GB,M.2,https://ssd.userbenchmark.com/SpeedTest/39907/NVMe-PM951-NVMe-SAMSU
SSD,OCZ,RevoDrive 350 PCIe 960GB,155.0,960GB,PCIe,https://ssd.userbenchmark.com/SpeedTest/15245/OCZ-REVODRIVE350
SSD,Patriot,Hellfire NVMe PCIe M.2 480GB,154.0,480GB,M.2,https://ssd.userbenchmark.com/SpeedTest/184918/Patriot-Hellfire-M2
SSD,MyDigitalSSD,BPX NVMe PCIe M.2 480GB,154.0,480GB,M.2,https://ssd.userbenchmark.com/SpeedTest/206552/BPX
SSD,Adata,XPG SX8200 NVMe PCIe M.2 240GB,153.0,240GB,M.2,https://ssd.userbenchmark.com/SpeedTest/480586/ADATA-SX8200NP
SSD,Sabrent,Rocket NVMe PCIe M.2 256GB,152.0,256GB,M.2,https://ssd.userbenchmark.com/SpeedTest/759740/NVMe-Sabrent
SSD,Adata,XPG SX8000 NVMe PCIe M.2 512GB,152.0,512GB,M.2,https://ssd.userbenchmark.com/SpeedTest/218488/NVMe-ADATA-SX8000NP
