Type,Brand,Model,Benchmark,Size,Model_Name,Storage_Size,Year,URL
HDD,WD,Purple Surveillance 1TB (2017),68.3,1TB,Purple Surveillance,1TB,2017.0,https://hdd.userbenchmark.com/SpeedTest/310059/WDC-WD10PURZ-85U8XY0
HDD,Toshiba,E300 2TB,68.3,2TB,E300,2TB,,https://hdd.userbenchmark.com/Toshiba-E300-2TB/Rating/3595
HDD,Toshiba,E300 2TB,68.3,2TB,E300,2TB,,https://hdd.userbenchmark.com/Toshiba-E300-2TB/Rating/3595
HDD,Seagate,SkyHawk 8TB (2016),68.2,8TB,SkyHawk,8TB,2016.0,https://hdd.userbenchmark.com/SpeedTest/228255/ST8000VX-ST8000VX0022-2EJ
HDD,WD,Re 1.5TB ,68.1,5TB,Re 1.,5TB,,https://hdd.userbenchmark.com/SpeedTest/14718/WDC-WD1503FYYS-01T8B0
HDD,Hitachi,HDS72302 2TB,67.5,2TB,HDS72302,2TB,,https://hdd.userbenchmark.com/SpeedTest/1223/Hitachi-HDS72302
HDD,WD,Blue 1TB (2015),67.4,1TB,Blue,1TB,2015.0,https://hdd.userbenchmark.com/WD-Blue-1TB-2015/Rating/3520
HDD,WD,Red 3TB (2012),67.3,3TB,Red,3TB,2012.0,https://hdd.userbenchmark.com/WD-Red-3TB-2012/Rating/1386
HDD,Seagate,Barracuda 4TB (2017),67.3,4TB,Barracuda,4TB,2017.0,https://hdd.userbenchmark.com/SpeedTest/243570/ST4000DM004-2CV104
HDD,WD,Black 2TB (2010),67.0,2TB,Black,2TB,2010.0,https://hdd.userbenchmark.com/WD-Black-2TB-2010/Rating/1414
HDD,WD,Re 2TB,66.7,2TB,Re,2TB,,https://hdd.userbenchmark.com/SpeedTest/3985/WDC-WD2003FYYS-02W0B1
HDD,WD,Red 1TB (2012),66.7,1TB,Red,1TB,2012.0,https://hdd.userbenchmark.com/SpeedTest/2832/WDC-WD10EFRX-68JCSN0
HDD,WD,Red 2TB (2012),66.4,2TB,Red,2TB,2012.0,https://hdd.userbenchmark.com/WD-Red-2TB-2012/Rating/1789
HDD,WD,WD6000HLHX-01JJPV0 600GB,66.4,600GB,WD6000HLHX-01JJPV0,600GB,,https://hdd.userbenchmark.com/SpeedTest/1823/WDC-WD6000HLHX-01JJPV0
